player_id,player_name,date_of_birth,birth_place,role,batting_style,bowling_style
99,Vikram Singh,"Sep 17, 1984","Chandigarh, Punjab, India",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
100,S Sreesanth,"Feb 06, 1983","Kothamangalam, Kerala",Bowler,Right Handed Bat,Right-Arm Fast-Medium
101,Mahela Jayawardene,"May 27, 1977",Colombo,Batsman,Right Handed Bat,Right-Arm Medium
102,Piyush Chawla,"Dec 24, 1988","Aligarh, Uttar Pradesh",Bowling Allrounder,Left Handed Bat,Right-Arm Legbreak
103,Rishi Dhawan,"Feb 19, 1990","Mandi, Himachal Pradesh",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
104,Karan Goel,"Dec 24, 1986",,Batting Allrounder,Right Handed Bat,
105,Simon Katich,"Aug 21, 1975","Middle Swan, Western Australia",Batsman,Left Handed Bat,Left-Arm Chinaman
106,Shaun Marsh,"Jul 09, 1983","Narrogin, Western Australia",Batsman,Left Handed Bat,Left-Arm Orthodox
107,Wilkin Mota,"Sep 20, 1981",,Batting Allrounder,Right Handed Bat,
108,Luke Pomersbach,"Sep 28, 1984","Bentley, Perth, Western Australia",Batsman,Left Handed Bat,Right-Arm Offbreak
109,Nitin Saini,"Oct 28, 1988",Rohtak,WK-Batsman,Right Handed Bat,
110,Ramnaresh Sarwan,"Jun 23, 1980","Wakenaam Island, Essequibo, Guyana",Batsman,Right Handed Bat,Right-Arm Legbreak
111,Sunny Sohal,"Nov 10, 1987",,Batsman,Right Handed Bat,
112,Tanmay Srivastava,"Nov 07, 1989",,Batsman,Left Handed Bat,
113,Sachin Tendulkar,"Apr 24, 1973","Bombay (Now Mumbai), Maharashtra",Batsman,Right Handed Bat,Right-Arm Legbreak
114,Dwayne Bravo,"Oct 07, 1983","Santa Cruz, Trinidad",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
115,Siddharth Chitnis,"May 06, 1987",,Batsman,Right Handed Bat,Right-Arm Offbreak
116,Dilhara Fernando,"Jul 19, 1979",Colombo,Bowler,Right Handed Bat,Right-Arm Fast-Medium
117,Sanath Jayasuriya,"Jun 30, 1969",Matara,Batting Allrounder,Left Handed Bat,Left-Arm Orthodox
118,Dhawal Kulkarni,"Dec 10, 1988",,Bowler,Right Handed Bat,Right-Arm Fast-Medium
119,Ashish Nehra,"Apr 29, 1979",Delhi,Bowler,Right Handed Bat,Left-Arm Fast-Medium
120,Manish Pandey,"Sep 10, 1989","Nainital, Uttaranchal",Batsman,Right Handed Bat,Right-Arm Offbreak
121,Shaun Pollock,"Jul 16, 1973","Port Elizabeth, Cape Province",Bowling Allrounder,Right Handed Bat,Right-Arm Fast-Medium
122,Ajinkya Rahane,"Jun 06, 1988","Ashwi-Kd, Maharashtra",Batsman,Right Handed Bat,Right-Arm Medium
123,Luke Ronchi,"Apr 23, 1981","Dannevirke, Manawatu, New Zealand",WK-Batsman,Right Handed Bat,
124,Dwayne Smith,"Apr 12, 1983","Storey Gap, Codrington Hill, St Michael, Barbados",Batting Allrounder,Right Handed Bat,Right-Arm Medium
125,Yogesh Takawale,"Nov 05, 1984",,WK-Batsman,Right Handed Bat,
126,Saurabh Tiwary,"Dec 30, 1989","Jamshedpur, Bihar",Batsman,Left Handed Bat,
127,Vikrant Yeligati,"Apr 23, 1985",,Batting Allrounder,Right Handed Bat,
128,Loots Bosman,"Apr 14, 1977","Kimberley, Cape Province",Batsman,Right Handed Bat,Right-Arm Medium
129,Ankeet Chavan,"Oct 28, 1985",,Bowling Allrounder,Left Handed Bat,Left-Arm Orthodox
130,Gaurav Dhiman,"Dec 16, 1986",New Delhi,Batsman,Right Handed Bat,Right-Arm Fast-Medium
