"STUID,State,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %"
"11011001037,AP,1,1,3,3,1,5,2,1,1,3,3,0,1,No,1,2,0,1,1,2,3,2,S,4,4,4,4,4,4,4,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,4,3,4,4,4,,43.33,,33.33"
"11011001038,AP,1,1,4,3,1,4,2,3,1,3,3,0,2,No,1,1,2,2,3,2,2,2,O,4,4,4,4,2,2,2,2,2,1,2,3,1,3,2,2,2,3,2,2,1,3,2,3,3,1,3,2,3,3,4,2,2,4,4,,,,20.0"
"11011001039,AP,1,1,3,3,1,3,0,4,1,3,3,0,2,No,1,1,2,2,1,2,2,2,L,4,2,3,2,3,2,2,2,0,0,1,3,1,3,3,2,2,3,2,3,1,3,3,2,3,1,3,3,3,3,3,4,2,4,4,,,29.63,28.0"
"11011001040,AP,1,2,0,0,0,1,0,1,1,3,3,0,2,No,1,2,2,2,1,2,0,2,O,4,3,4,4,4,3,4,4,2,1,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,4,4,4,,23.33,,"
"11011002001,AP,1,2,3,3,1,4,2,0,1,0,2,0,1,No,1,1,0,1,1,2,2,2,M,4,2,4,3,4,4,2,3,2,1,3,3,3,3,3,1,3,3,3,3,2,3,2,1,1,1,3,3,1,1,4,3,1,3,4,44.44,,,"
"11011002001,AP,1,2,3,3,1,4,2,0,1,0,2,0,1,No,1,1,0,1,1,2,2,2,M,4,2,4,3,4,4,2,3,2,1,3,3,3,3,3,1,3,3,3,3,2,3,2,1,1,1,3,3,1,1,4,3,1,3,4,31.48,,,"
"11011002002,AP,1,2,4,1,1,4,2,1,1,2,2,0,1,No,2,1,2,2,1,2,2,2,L,4,4,3,3,4,4,3,2,2,1,3,3,3,3,3,2,3,3,3,3,1,3,3,1,3,3,3,3,1,3,4,4,4,4,4,,43.33,,"
"11011002003,AP,1,2,3,3,1,5,2,1,1,3,3,0,1,No,1,2,2,2,1,2,2,2,L,4,4,3,3,4,4,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,1,3,4,4,3,4,4,,10.0,,22.92"
"11011002004,AP,1,2,4,1,1,4,2,2,2,3,3,0,2,No,2,1,2,2,1,2,2,2,M,4,4,3,2,4,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,4,4,4,4,4,,,27.27,30.0"
"11011002005,AP,1,2,3,3,1,5,2,1,1,3,3,0,1,No,1,2,2,2,2,2,2,2,S,4,4,2,3,4,4,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,1,1,4,4,3,4,4,16.67,,14.81,"
